Russian,English
письмо,letter
весело,fun
утра,morning
имел,had
вашим,Yours
поверь,Believe me
находится,is
согласен,agree
список,list
котором,which
отличная,Excellent
чувство,feeling
такую,Such
пришёл,Came
девушки,Girls
своем,your own
связь,connection
руках,hands
сынок,son
девочки,girls
встречи,Meetings
фбр,FBI
понадобится,You will need it
заниматься,study
решили,decided
ушла,Left
прийти,Come
ушел,gone
семью,family
найду,I will find
остальные,rest
чувства,feelings
полицию,Police
молодец,well done
является,is
решила,I decided
старый,old
фрэнк,Frank
волосы,hair
считаю,I think
каким,What
расскажи,tell
нём,him
школы,schools
хм,hm
части,parts
впервые,first
собирается,Gathering
ъ,b
оттуда,From there
хочется,I want to
первым,First
могло,Could
эми,Amy
дядя,uncle
стали,steel
пара,pair
пройти,pass the
богу,God
становится,It becomes
ехать,drive
недель,weeks
ме,me
наверняка,Surely
никуда,Nowhere
голове,head
благодарю,thank you
черта,Damn
брось,Throw
макс,Max
пыталась,I tried
глаз,eye
другу,friend
сара,Sarah
многие,many
гарри,Harry
нашёл,found
вопросов,questions
невероятно,Incredible
тела,bodies
называется,called
существует,exist
маленькая,petite
позвоню,I'll call
всеми,All
нашим,ours
приехал,I arrived
вполне,quite
вернулась,Returned
своему,to your own
помощи,help
одном,One
замуж,Marry
идиот,idiot
идём,Let's go
пытается,Trying
джейн,Jane
недавно,recently
слава,glory
мужчины,men
семь,seven
жив,alive
придет,will come
команда,command
месье,Monsieur
друзьями,friends
делаем,We do
первая,First
вашем,yours
дэнни,Danny
навсегда,forever
слышу,I hear
фото,a photo
общем,general
земле,Earth
новая,New
начали,Started
удалось,managed
понравится,I like it
помните,Remember
главное,main
единственная,The only one
звонил,Called
новые,New
будущее,future
огонь,the fire
защитить,protect
самой,yourself
услышать,hear
стоило,It was worth it
любил,I loved
никак,no way
купил,bought
попробовать,Try
близко,close
делу,business
страшно,fearfully
менее,less
хорошее,Good
жену,wife
делала,I did it
семье,family
алекс,Alex
делали,did
заставить,Make it
смысл,meaning
тюрьме,prison
получается,it turns out
ключ,key
благодаря,thanks to
живет,Lives
подальше,away
получила,received
звонок,Call
секс,sex
неправильно,not right
очередь,turn
необходимо,necessary
мертв,dead
пить,drink
дамы,Ladies
секунд,seconds
верить,believe
мэри,Mary
девушку,girl
сон,dream
получили,received
преступления,crimes
платье,dress
силы,strength
двери,Doors
твоем,yours
хорошего,Good
рот,mouth
сделает,will do it
ник,Nick
слышать,hear
оставаться,stay
игру,game
касается,concerns
состоянии,condition
похож,Similar
жду,I am waiting
стоять,to stand
поздравляю,Congratulations
сожалею,regret
землю,Earth
взяли,have taken
разговор,talk
парней,guys
первой,First
суд,court
держись,Hold on
шеф,chef
сможете,You can
сделаешь,You will do it
нового,New
минуты,minutes
оу,OU
ходить,walk
блядь,Fuck
другую,Another
каждого,Everyone
попасть,To get
вперёд,forward
думали,Thought
лично,personally
хватает,Enough
стоп,stop
женой,wife
этими,These
нашем,ours
новую,New
забыла,Forgot
мысли,thoughts
изменить,change
вечеринку,Party
женщину,Woman
однако,but
видимо,Apparently
течение,flow
осторожно,carefully
покое,Sour
нравятся,I like it
бен,Ben
маме,Mom
дали,Dali
джимми,Jimmy
поехать,Go
помощью,help
выше,higher
случайно,by chance
раза,times
задницу,ass
пришло,It came
разумеется,Of course
вещей,of things
ха,Ha
первое,first
отличный,great
вовсе,At all
дэвид,David
лучшее,the best
войны,War
выход,output
смогла,I was able
концов,The ends
садись,Sit down
цель,goal
подруга,friend
плевать,spit
наверно,probably
просил,I asked
забыть,forget
годы,years
дочери,Daughters
красивая,beautiful
офис,office
выяснить,to find out
продолжай,continue
миллионов,millions
единственное,the only thing
счастлив,happy
целый,whole
король,king
адвокат,advocate
нечто,something
ждет,Waiting
убью,I will kill
правила,regulations
дороги,Roads
увидишь,You will see
дала,Dal
занят,busy
народ,people
дни,Days
разница,difference
сожалению,Unfortunately
вау,wow
расскажу,I'll tell you
обоих,both
попробуй,try
найдем,Find
сезон,season
жизнью,life
оставьте,Leave
новое,new
записи,Records
слов,words
it,it
обед,dinner
джеймс,James
адрес,the address
совет,advice
попросил,I asked
подождать,wait
ого,wow
глупо,Stupid
написал,wrote
информацию,information
удар,hit
момента,moment
покажу,I'll show you
ищу,looking for
будьте,Be
пошёл,I went
поскольку,because the
думают,Think
вышел,came out
голова,head
заняться,do
выбора,choice
лица,Faces
свете,light
книгу,book
кино,movie
жены,wives
тюрьму,prison
убивать,kill
останется,will remain
узнала,I learned
доверять,trust
открыть,open
виноват,To blame
узнает,Learn
какую,what
and,and
взяла,I took it
стану,I will become
мамой,Mom
х,X
весьма,Very
большие,Big
восемь,eight
примерно,approximately
покажи,Show me
магазин,shop
дел,cases
сексом,sex
вечера,Evenings
понравилось,liked
снаружи,outside
многое,much
бизнес,business
встреча,meeting
уехать,Leave
чувствовать,feel
договорились,agreed
родителей,parents
смотрю,look
плохой,bad
земли,Earth
рассказала,told
ребёнка,child
считает,He thinks
тони,Tony
мамы,Mom
маму,Mom
выходит,It turns out
слушать,listen
заметил,Noticed
позвонил,I called
сержант,sergeant
большинство,majority
ребёнок,child
книги,Books
врн,VRN
здравствуй,hello
фотографии,Photo
внимания,attention
жертвы,victims
помогу,I will help
попал,I got it
офицер,an officer
встречу,Meeting
двигаться,move
поняли,understood
продолжать,continue
захочешь,If you want
стойте,Stand
вода,water
ёто,Eto
забавно,Funny
сильнее,stronger
идут,Go
отпусти,Let go
шаг,step
хорош,good
подумай,Think
выйдет,It will come out
сюрприз,surprise
дорогу,The road
мысль,thought
скажет,Say
правы,right
любить,be in love
считаешь,You think
твоему,Your
планы,Plans
вечно,forever
вечеринка,a party
дороге,road
каждую,Each
ближе,nearer
больницу,hospital
видео,video
профессор,Professor
больнице,hospital
собираемся,re going
мен,Men
веришь,Believe
побери,Shoot
смогли,They were able
ребят,guys
вернется,will return
полный,full
лейтенант,lieutenant
внизу,at the bottom
документы,the documents
скажем,Let's say
часы,clock
узнали,learned
качестве,quality
поле,field
головы,heads
подходит,fits
t,t
написано,Written
доказать,prove
остался,remained
музыка,music
делом,business
беги,Run
война,war
времена,time
ошибка,error
готово,ready
вставай,Get up
ничто,nothing
ключи,Keys
разговаривать,speak
шутишь,You are joking
следующей,next
видно,it is seen
бабушка,Granny
энди,Andy
вышло,It turned out
мнение,opinion
любят,Love
попросить,Ask
каком,which one
открой,Open
кольцо,ring
сомневаюсь,I doubt
мм,mm
воду,water
бросил,He threw it
вышла,I went out
отдай,Give it
эмили,Emily
живу,I live
ричард,Richard
ранее,previously
рэй,Ray
определенно,definitely
позвони,Call
постой,Wait
приехали,Arrived
начнем,Let's start
кейт,Kate
днем,during the day
имеете,You have
другая,Another
детьми,children
ч,h
кончено,Once
играет,Playing
закончить,finish
несмотря,despite
трубку,pipe
группа,group
пожалуй,perhaps
команды,teams
сердца,hearts
кларк,Clark
главный,main
стране,country
комната,room
хорошим,Good
отдать,Give
вряд,unlikely
такси,Taxi
ухожу,I'm leaving
порядок,order
роль,role
вверх,up
сил,strength
мужчин,men
отцу,Father
самые,The most
легче,easier
наверху,upstairs
секрет,secret
счастлива,Happy
новой,New
настоящая,Real
получше,Better
телефону,telephone
рш,RSh
старик,old man
язык,language
врач,doctor
встретимся,Meet me
шутка,joke
разобраться,understand
пойдет,will go
недостаточно,Not enough
ј,ј
удовольствием,pleasure
прекрасный,beautiful
снять,take off
джонни,Johnny
спросил,asked
большую,Big
одному,One
днк,DNA
говорим,We say
получишь,Get it
едем,We are going
одни,One
молодой,young
o,O
группы,groups
приходится,It is necessary
опасности,Dangers
женщиной,woman
самых,Most
уходить,leave
бобби,Bobby
сто,one hundred
волнует,excites
член,member
каких,what
бросить,Throw
билли,Billy
де,de
принести,bring
первого,First
марк,Mark
кое,some
чертовски,Damn
ублюдок,bastard
работаешь,You work
встречаться,meet
взглянуть,Take a look
боб,bean
такими,Such
квартиру,apartment
позволю,Let me
закон,law
помогает,Helps
сша,USA
спас,saved
закончится,It will end
внутрь,inside
сигнал,signal
мозг,brain
опасно,dangerous
великолепно,fabulous
едва,barely
учитывая,Considering
госпожа,Madam
господь,Lord
убила,Killed
читать,to read
сукин,Sukin
джим,Jim
томми,Tommy
ма,ma
закончили,Finished
помог,Helped
спустя,After
ответить,answer
джей,Jay
потрясающе,Amazing
стол,table
войти,to come in
потеряла,Lost
везде,everywhere
избавиться,Get rid
писать,write
серия,series
компания,company
that,that
убирайся,Get out
лили,Lily
ложь,Lying
настоящее,the present
закончил,finished
костюм,suit
информация,information
шон,Sean
смотрел,watched
всём,Everything
солнце,sun
начинается,It begins
убедиться,make sure
лучшая,The best
передать,transfer to
факт,fact
баксов,bucks
увидела,I saw
тысячи,thousands
память,memory
потеряли,Lost
устал,tired
боишься,Afraid
окно,window
полно,Full
рук,hands
украл,stole
операции,operations
девушкой,girl
бежать,run
двоих,Two
ƒа,ƒa
казалось,It seemed
моём,mine
следы,traces
класс,Class
показания,Indications
придурок,jerk
море,sea
величество,Majesty
возможности,opportunities
держите,Keep
эдди,Eddie
идешь,You go
приказ,order
штука,thing
жертва,victim
оставила,Left
расслабься,Relax
скажете,Say
обещал,He promised
другими,others
самым,Most
билл,Bill
вернулись,Returned
ошибку,error
принимать,take
запах,smell
дон,Don
жил,lived
света,Sveta
достать,Get out
платить,to pay
страны,country
уничтожить,Destroy
предложить,suggest
приходит,Comes
рождество,Christmas
убийстве,murder
собираетесь,Getting to
обожаю,adore
зависит,depends
ждал,Waited
небольшой,small
начало,Start
одежду,clothes
сделку,deal
офисе,office
данные,data
яйца,eggs
найди,Find
знак,sign
клуб,club
c,C.
беспокойся,Bring
ситуации,situations
новость,news
забрал,took away
вовремя,in time
вне,outside
судя,Judging
собака,dog
ситуация,situation
слегка,slightly
появился,appeared
наверх,upstairs
согласно,according to
эрик,Eric
энни,Annie
обсудить,Discuss
чисто,purely
любила,Love
принадлежит,belongs
искал,Searched
красиво,Beautiful
пытались,Tried
причины,causes
песню,song
книга,book
док,dock
директор,director
вашему,Yours
райан,Ryan
джерри,Jerry
ребенком,child
of,of
наркотики,Drugs
анна,Anna
думай,Think
сука,bitch
добраться,get to
зато,but
уровень,level
учитель,teacher
помогать,to help
зайти,Come in
нос,nose
собиралась,Gathered
дважды,twice
генерал,General
работала,worked
ждут,are waiting
лучшие,The best
тише,quiet
сделано,made
выходные,weekend
желание,a wish
доказательства,proof
плохая,Bad
старые,Old
души,Souls
куча,A bunch
использовал,Used
бери,Take it
доступ,access
матерью,mother
туалет,toilet
многих,many
состояние,condition
срочно,urgently
пытаешься,Trying
представляешь,Imagine
выглядеть,to look like
повсюду,everywhere
неправда,not true
неприятности,troubles
взгляд,sight
беременна,Pregnant
брак,marriage
практически,practically
дружище,buddy
песня,song
потерять,lose
знакомы,Familiarized
ммм,mmm
оказался,It turned out
разные,different
исправить,to correct
приехала,I arrived
увижу,I will see
узнаю,I find out
чай,tea
силу,strength
радио,radio
нож,knife
частью,part
расследование,investigation
супер,super
возьмите,Take it
спал,I slept
чушь,nonsense
идеи,Ideas
центр,center
случиться,happen
остальное,rest
глазах,eyes
еда,food
каково,What
написать,Write
мимо,by
спит,Sleeping
чтo,What
джейк,Jake
звук,sound
рука,arm
даст,give
клэр,Clare
обе,both
черту,Damn
система,system
музыку,Music
поезд,train
удивительно,marvelous
пиво,beer
мертва,Dead
суда,ships
кости,bones
уехал,He left
команду,team
устроить,arrange
поеду,I'll go
церкви,churches
боли,pain
in,in
запись,Record
самолет,airplane
дедушка,granddad
первую,The first
заплатить,pay
белый,white
возле,near
вкус,taste
остальных,the rest
судья,judge
имена,names
уходите,Go away
поцелуй,kiss
плохие,Bad
проще,simpler
тест,test
сила,force
решить,solve
солдат,soldier
мальчика,boy
мартин,Martin
смысла,meaning
рода,kind
безумие,madness
выбрал,I chose
следовало,It should
принес,Bring
камеры,cameras
постели,bed
способен,capable
остается,It remains
земля,Earth
чак,Chuck
головой,head
справиться,cope
лицом,face
суде,trial
третий,the third
плюс,a plus
здание,building
двумя,two
дает,Gives
сказано,It is said
центре,center
кучу,A bunch
называть,call
началось,started
любовью,love
последняя,Last
сходить,go
маленькой,small
сестры,Sisters
завтрак,breakfast
трех,Three
работают,Work
играл,Played
результаты,results
которому,which
стыдно,ashamed
мария,Maria
нe,NE
звонила,Called
звали,The name was
стрелять,fire
слушаю,I'm listening
команде,team
шучу,kidding
пойдешь,You will go
встретил,Meet
возвращаться,come back
продать,sell
называют,called
кэтрин,Catherine
ќ,to
здоровье,health
долг,duty
еды,food
сообщить,to report
оказалось,it turned out
назвал,He called it
полицейский,police officer
даю,I give
разу,once
прекратить,stop
особо,Especially
столь,so
поставить,put
оружия,weapons
вернись,Come back
крис,Chris
остались,remained
ищем,are looking for
человеку,man
имела,had
принесу,I will bring
жене,wife
устала,tired
ушли,Left
выбраться,Get out
отправить,send
останусь,I will stay
захочет,He wants
похожа,Similar
прошла,passed
прочь,away
поговорю,I'll talk
смотришь,You look
брайан,Brian
держу,I hold
клиент,client
заставил,forced
кусок,piece
квартире,apartment
оставлю,I'll leave it
нравишься,Like
код,the code
впереди,Ahead
значения,meanings
принял,Accepted
важное,Important
старая,Old
рассказывать,tell
сработает,Work
цветы,flowers
уйду,I'll leave
убери,Take away
инспектор,inspector
посмотрю,I'll see
прощай,goodbye
решать,solve
согласна,agree
стив,Steve
реально,really
наедине,alone
карл,Charles
власти,authorities
заходи,Come in
преступление,the crime
полковник,Colonel
сохранить,save
маленькие,Small
явно,Obviously
дженни,Jenny
моими,mine
прекратите,Stop
бумаги,Papers
встречались,Meet
уилл,Will
выбрать,choose
папочка,daddy
страшного,terrible
девушек,girls
привести,bring
защищать,protect
приду,I'll come
прошлое,past
медленно,slowly
девять,nine
сбежал,He ran away
скучаю,I miss
адам,Adam
короля,king
поедем,Let's go
ешь,Eat
вернемся,Let's get back
компьютер,a computer
камеру,camera
линии,lines
видит,sees
плохого,Bad
чувствовал,I felt
осталась,Remained
письма,Letters
жива,alive
новых,new
поймать,catch
роберт,Robert
счёт,check
сбежать,run away
задать,Set
ногу,leg
холодно,cold
кровью,blood
начинает,Starts
душу,Soul
получит,Get it
любимый,favourite
послал,Sent
своём,your own
двадцать,twenty
остановись,Stop
глазами,Eyes
танцевать,dance
ответственность,responsibility
бар,bar
кровати,beds
информации,information
упал,fell
представляю,Imagine
временем,time
позвонила,I called
руками,hands
церковь,church
прекрасная,Beautiful
нибудь,something
колледж,college
чудо,miracle
отношение,attitude
услышал,I heard
дурак,fool
компанию,company
мяч,ball
